Source,Target,Weight
紋別市立博物館,総合福祉センター「はーとぴあ２１」,0.6365412191864964
標茶町ふれあい交流センター,ピュア・フィールド　風曜日,24.20215722269878
標茶町ふれあい交流センター,遠矢コレクティブセンター,28.74684237579777
標茶町ふれあい交流センター,厚岸町保健福祉総合センターあみか21,35.352979345256585
鶴居村ふるさと情報館,イオンモール釧路昭和,18.730719818534478
イオンモール釧路昭和,DMCホーマック木場店,5.887389239985034
イオンモール釧路昭和,市立釧路国民健康保険音別診療所.,49.0620061445226
釧路町保健福祉センター　あいぱーる,DMCホーマック木場店,3.061565870617327
釧路町保健福祉センター　あいぱーる,遠矢コレクティブセンター,4.109349781670601
ホテルＪＡＬＣＩＴＹ青森,東洋信託銀行青森支店,0.12173139841696173
ユニバース沖館店,ユニバース沖館店（増築）,0.29736789379303313
ユニバース沖館店,ハイパーモールジョイシティー新築工事Ｂ棟,2.446532943622275
東洋信託銀行青森支店,青森駅前第二地区第一種市街地再開発ビル,0.4963360769838699
東洋信託銀行青森支店,イトーヨーカドー青森店　青森市,2.3910035820991085
浅虫道の駅,ホーマック東青森店,10.991533470100974
浅虫道の駅,イオン七戸十和田駅前店,35.939728358215625
ユニバース沖館店（増築）,ねぶたの家　ワ・ラッセ,1.053110168180329
青森駅前第二地区第一種市街地再開発ビル,ねぶたの家　ワ・ラッセ,0.20248902602389812
イトーヨーカドー青森店　青森市,ヤマダ電機青森店,1.2381386197820299
ハイパーモールジョイシティー新築工事Ｂ棟,ハイパーモールジョイシティー新築工事Ａ棟,0.0
ハイパーモールジョイシティー新築工事Ｂ棟,コロナワールド,0.15971288500295108
ハイパーモールジョイシティー新築工事Ｂ棟,ケーズデンキ青森西店,1.1023082241443023
ハイパーモールジョイシティー新築工事Ｂ棟,（有）ケイワールド社屋,2.828392426275231
中央市民センター内真部分館,ケーズデンキ青森西店,6.895575794869624
青森市スポーツ会館,ユニバース東青森店,1.8853244477837756
ヤマダ電機青森店,ユニバース東青森店,3.0511736345599485
西部市民センター,ケーズデンキ青森西店,1.7143678787833108
ユニバース東青森店,ホーマック東青森店,0.18687497869563774
（有）ケイワールド社屋,マックスバリュ黒石店,17.33273880834934
ユニバース南大町店,学校法人柴田学園東北女子大学,0.9373041286044049
ユニバース南大町店,弘前城東タウンプラザ,3.2281211512304178
ユニバース南大町店,イオンタウン弘前樋の口,4.716103417917496
イオンタウン安原ショッピングセンター,学校法人柴田学園東北女子大学,1.0366028160775764
弘前城東タウンプラザ,マックスバリュ平賀店,5.819171971442418
イオンタウン弘前樋の口,マックスバリュ板柳店,9.017950882524374
マックスバリュー八戸城下店,ヤマダ電機テックランド八戸店　（ピアドゥ施設内別棟）,1.1088405734815399
マックスバリュー八戸城下店,下田ショッピングセンター(本棟増築分),10.35406902591893
八戸沼館ショッピングセンターピアドゥ,トイザらス・ベビーザらス八戸店　（ピアドゥ施設内別棟）,0.016882303108095728
八戸沼館ショッピングセンターピアドゥ,ヤマダ電機テックランド八戸店　（ピアドゥ施設内別棟）,0.5386063774091105
ユニバース南類家店,イオン八戸田向店,0.9530624114542878
ユニバース南類家店,クローバーズピアこうようデイサービスセンターこうよう,1.6477831151105689
